,List of Magazines,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,Sl No,Name of the Magazine,Subscription Period (In Years),No Of Copies,Price (Rs),Total Price (Rs),DD Address,Send Address
1,1,Reader's Digest,2,2,1699,3398,"In Favour of ""SDRD Solutions pvt ltd"" New Delhi","""SDRD Solutions pvt ltd"", First Floor,Plot No: 131, Block-D,Sector-12,Dwaraka, NewDelhi-110078
"
2,2,Careers 369,2,2,829,1658,,
3,3,Digit,2,1,1999,1999,,
4,4,Biology Today,2,2,5200,10400,,
5,5,Chemistry Today,2,2,,,,
6,6,Mathematics Today,2,2,,,,
7,7,Physics for You,2,2,,,,
8,8,P.C. Quest,2,1,3000,3000,,
9,9,Data Quest,2,1,2400,2400,,
10,10,Auto Car,1,1,1320,1320,,
11,11,Auto Components India,1,1,999,999,,
12,12,Car India,1,1,1440,1440,,
13,13,Bike India,1,1,1100,1100,,
14,14,Construction World,2,1,6000,6000,,
15,15,Competition Success Review,2,2,1950,3900,,
16,16,Electrical India,2,1,2950,2950,,
17,17,Engineering Success Review,2,1,950,950,,
18,18,The Machinest,2,1,1400,1400,,
19,19,Electronics Bazaar,1,1,950,950,,
20,20,Pratiyogitha Darpan,2,2,2540,5080,,
21,21,India Today,1 Year,2,2999,5998,,
22,22,The Week,1 Year,2,1600,3200,,
23,23,Competition Affairs,1 Year,2,1450,2900,,
24,24,Open Source for You,1 Year,2,1150,2300,,
25,25,Electronics for you,1 Year,2,960,1920,,
26,2,Education World,1 Year,2,3400,6800,,
27,27,Shine India,1 Year,2,999,999,,
28,28,Vivek,1 Year,2,300,600,,
29,29,Vijetha Competition,1 Year,2,800,1600,,
30,,Total,,28,36726,48944,,
